preds,targets,uncertainties,pred_deltas,target_deltas,rmse_per_dim,mae_per_dim,dim_names,mean_rmse,corr_uncertainty,calibration_error,ablation_mode
"[[0.10688207 0.10926387 0.0568401  ... 0.01324618 1.9189494  0.9928883 ]
 [0.1078274  0.11003716 0.05441124 ... 0.01291045 2.0198243  0.99283695]
 [0.10789676 0.11004154 0.05407876 ... 0.01283333 2.0335548  0.9931029 ]
 ...
 [0.05438159 0.06983568 0.08357632 ... 0.00636237 1.537937   0.9994195 ]
 [0.0844133  0.05771128 0.07404517 ... 0.00722125 1.4633181  0.9993707 ]
 [0.08452442 0.09271988 0.05851136 ... 0.00915172 1.5830213  0.9992287 ]]","[[0.10774326 0.10994719 0.05443428 ... 0.01289664 2.0198152  0.99285555]
 [0.10782912 0.10998186 0.05408408 ... 0.01282793 2.033535   0.9930965 ]
 [0.10824611 0.11020905 0.0542348  ... 0.0129401  2.0320723  0.9955533 ]
 ...
 [0.05468161 0.071329   0.08505667 ... 0.00663507 1.5554894  0.99943286]
 [0.08625197 0.05806573 0.07597426 ... 0.00761001 1.4854195  0.99937123]
 [0.0841773  0.09207521 0.05740694 ... 0.00889881 1.6039038  0.9993153 ]]","[[1.3485455e-11 2.2639177e-11 1.4583534e-11 ... 1.8459559e-11
  3.4071818e-11 1.2514542e-11]
 [5.7306355e-08 7.9459170e-08 6.0881064e-08 ... 6.9559526e-08
  1.0160463e-07 5.4845579e-08]
 [1.2638980e-13 2.4022705e-13 1.3687073e-13 ... 1.8818416e-13
  4.0693273e-13 1.1459384e-13]
 ...
 [9.8720392e-09 8.4795255e-09 9.5145669e-09 ... 9.7142054e-09
  8.1567331e-09 9.9197930e-09]
 [6.1545129e-09 5.2696785e-09 5.9344498e-09 ... 6.0522236e-09
  5.0588573e-09 6.1904086e-09]
 [5.5630349e-09 4.7847544e-09 5.4246398e-09 ... 5.4591522e-09
  4.5574660e-09 5.6353131e-09]]","[[ 1.06371153e-04  1.08478336e-04 -4.30223081e-05 ... -1.34418078e-05
   7.62101990e-06 -1.40665616e-05]
 [ 8.41376896e-05  8.99656588e-05 -2.30383012e-05 ...  1.38096075e-05
   9.05352772e-06 -1.85733352e-05]
 [ 6.76411728e-05  5.96806858e-05 -5.31711703e-06 ...  5.40037581e-06
   1.98939815e-05  6.40800954e-06]
 ...
 [ 4.87739999e-05  5.27791417e-05  2.07564590e-05 ...  2.63502370e-05
   8.97847931e-05 -2.24882788e-05]
 [ 5.42667367e-05  5.84883819e-05  1.62737706e-05 ...  2.04097087e-05
   9.27185902e-05 -2.43305967e-05]
 [ 8.12935032e-05  8.79557047e-05 -7.89687329e-06 ... -3.18550155e-06
   9.05444031e-05 -3.23349595e-05]]","[[ 9.6755475e-04  7.9180300e-04 -2.4488419e-03 ... -3.6297552e-04
   1.0087347e-01 -4.6789646e-05]
 [ 8.5860491e-05  3.4675002e-05 -3.5019964e-04 ... -6.8712980e-05
   1.3719797e-02  2.4092197e-04]
 [ 4.1699409e-04  2.2718310e-04  1.5072525e-04 ...  1.1217035e-04
  -1.4626980e-03  2.4568439e-03]
 ...
 [ 3.4880266e-04  1.5460998e-03  1.5011057e-03 ...  2.9905513e-04
   1.7642140e-02 -9.1195107e-06]
 [ 1.8929392e-03  4.1293353e-04  1.9453615e-03 ...  4.0917099e-04
   2.2194147e-02 -2.3782253e-05]
 [-2.6582927e-04 -5.5671483e-04 -1.1123121e-03 ... -2.5609042e-04
   2.0973086e-02  5.4299831e-05]]","[4.36246581e-03 4.52166609e-03 4.34489455e-03 5.18027358e-02
 8.33094120e-02 3.32086533e-03 3.99397919e-03 1.20426738e-03
 1.71489465e+00 1.06092475e-01 8.51812422e-01 7.24293874e-04
 1.29067630e-01 2.45799217e-03]","[1.4043173e-03 1.3637509e-03 1.4220986e-03 2.7447231e-02 3.3097547e-02
 2.3352788e-03 2.1064088e-03 7.5987243e-04 5.0400370e-01 1.7404469e-02
 1.9903618e-01 3.0888632e-04 7.4519135e-02 1.4504850e-03]","['scale_a1', 'scale_a2', 'scale_a3', 'shape_epsilon1', 'shape_epsilon2', 'translation_x', 'translation_y', 'translation_z', 'euler_rx', 'euler_ry', 'euler_rz', 'volume', 'elongation', 'smoothness']",0.21156499,0.45752785680360114,0.16545714285714286,full
"[[0.10685161 0.10935818 0.0566919  ... 0.0130994  1.9195423  0.9928717 ]
 [0.10773378 0.11001448 0.05431746 ... 0.01282448 2.019714   0.99284977]
 [0.10778543 0.10999514 0.05400944 ... 0.01280718 2.0330606  0.9931183 ]
 ...
 [0.05426596 0.06980708 0.08351914 ... 0.00628944 1.5376713  0.9994418 ]
 [0.08429109 0.05765119 0.07400947 ... 0.00717262 1.4629366  0.99941707]
 [0.08442032 0.09267834 0.05842102 ... 0.00910443 1.5826705  0.99926746]]","[[0.10774326 0.10994719 0.05443428 ... 0.01289664 2.0198152  0.99285555]
 [0.10782912 0.10998186 0.05408408 ... 0.01282793 2.033535   0.9930965 ]
 [0.10824611 0.11020905 0.0542348  ... 0.0129401  2.0320723  0.9955533 ]
 ...
 [0.05468161 0.071329   0.08505667 ... 0.00663507 1.5554894  0.99943286]
 [0.08625197 0.05806573 0.07597426 ... 0.00761001 1.4854195  0.99937123]
 [0.0841773  0.09207521 0.05740694 ... 0.00889881 1.6039038  0.9993153 ]]","[[3.1283488e-14 6.1658591e-14 2.4031355e-14 ... 6.2840527e-14
  2.7600738e-14 3.4133886e-14]
 [9.7728978e-16 2.1840008e-15 7.0668393e-16 ... 2.3242095e-15
  8.3877903e-16 1.1757422e-15]
 [1.1526766e-10 1.9762642e-10 9.2851872e-11 ... 2.0689080e-10
  1.0414796e-10 1.3169228e-10]
 ...
 [5.4065058e-15 7.1431923e-15 3.9222928e-15 ... 5.9329491e-15
  4.7128507e-15 3.7297935e-15]
 [2.1492147e-11 2.3935191e-11 1.9139480e-11 ... 1.7855037e-11
  2.0460987e-11 1.3338314e-11]
 [7.1019416e-13 1.3626361e-12 5.4811239e-13 ... 1.4319362e-12
  6.2882642e-13 8.2427186e-13]]","[[ 7.5906952e-05  2.0279543e-04 -1.9122344e-04 ... -1.6022206e-04
   6.0061819e-04 -3.0638752e-05]
 [-9.4789539e-06  6.7283370e-05 -1.1681629e-04 ... -7.2163304e-05
  -1.0115688e-04 -5.7522484e-06]
 [-4.3681663e-05  1.3277392e-05 -7.4639087e-05 ... -2.0752645e-05
  -4.7449826e-04  2.1840486e-05]
 ...
 [-6.6855137e-05  2.4181776e-05 -3.6428952e-05 ... -4.6578163e-05
  -1.7594467e-04 -1.8200080e-07]
 [-6.7938447e-05 -1.6098284e-06 -1.9420961e-05 ... -2.8218185e-05
  -2.8866722e-04  2.2033433e-05]
 [-2.2811309e-05  4.6417972e-05 -9.8240234e-05 ... -5.0470102e-05
  -2.6018702e-04  6.4395681e-06]]","[[ 9.6755475e-04  7.9180300e-04 -2.4488419e-03 ... -3.6297552e-04
   1.0087347e-01 -4.6789646e-05]
 [ 8.5860491e-05  3.4675002e-05 -3.5019964e-04 ... -6.8712980e-05
   1.3719797e-02  2.4092197e-04]
 [ 4.1699409e-04  2.2718310e-04  1.5072525e-04 ...  1.1217035e-04
  -1.4626980e-03  2.4568439e-03]
 ...
 [ 3.4880266e-04  1.5460998e-03  1.5011057e-03 ...  2.9905513e-04
   1.7642140e-02 -9.1195107e-06]
 [ 1.8929392e-03  4.1293353e-04  1.9453615e-03 ...  4.0917099e-04
   2.2194147e-02 -2.3782253e-05]
 [-2.6582927e-04 -5.5671483e-04 -1.1123121e-03 ... -2.5609042e-04
   2.0973086e-02  5.4299831e-05]]","[4.36460739e-03 4.52091917e-03 4.34497697e-03 5.18007167e-02
 8.33120123e-02 3.31654353e-03 3.99339432e-03 1.19360071e-03
 1.71489322e+00 1.06092684e-01 8.51804972e-01 7.23646663e-04
 1.28997922e-01 2.45692022e-03]","[1.4240363e-03 1.3666678e-03 1.4264392e-03 2.7443757e-02 3.3101041e-02
 2.3301588e-03 2.1044021e-03 7.5597584e-04 5.0400060e-01 1.7410900e-02
 1.9903429e-01 3.1883977e-04 7.4483894e-02 1.4491637e-03]","['scale_a1', 'scale_a2', 'scale_a3', 'shape_epsilon1', 'shape_epsilon2', 'translation_x', 'translation_y', 'translation_z', 'euler_rx', 'euler_ry', 'euler_rz', 'volume', 'elongation', 'smoothness']",0.2115583,0.40564949078392465,0.165,no_pose
"[[0.10696877 0.10944325 0.05637432 ... 0.0131735  1.9208567  0.9928451 ]
 [0.1078023  0.10996578 0.05447879 ... 0.01290871 2.019863   0.9928325 ]
 [0.10788379 0.10999663 0.054133   ... 0.01284297 2.033567   0.9930746 ]
 ...
 [0.05430345 0.06974258 0.08368835 ... 0.00642603 1.5376174  0.9994327 ]
 [0.08442348 0.0577024  0.07408894 ... 0.00723229 1.4633535  0.99933994]
 [0.08449659 0.09267429 0.05857968 ... 0.00918592 1.5829251  0.9992193 ]]","[[0.10774326 0.10994719 0.05443428 ... 0.01289664 2.0198152  0.99285555]
 [0.10782912 0.10998186 0.05408408 ... 0.01282793 2.033535   0.9930965 ]
 [0.10824611 0.11020905 0.0542348  ... 0.0129401  2.0320723  0.9955533 ]
 ...
 [0.05468161 0.071329   0.08505667 ... 0.00663507 1.5554894  0.99943286]
 [0.08625197 0.05806573 0.07597426 ... 0.00761001 1.4854195  0.99937123]
 [0.0841773  0.09207521 0.05740694 ... 0.00889881 1.6039038  0.9993153 ]]","[[3.1497941e-06 2.9953194e-06 3.2477592e-06 ... 3.1661202e-06
  3.0022804e-06 3.1494908e-06]
 [5.2923791e-14 4.5626121e-14 5.5941220e-14 ... 5.3321791e-14
  4.7182137e-14 5.2476693e-14]
 [7.6676248e-14 6.6073971e-14 8.0801875e-14 ... 7.7331594e-14
  6.8473324e-14 7.6050677e-14]
 ...
 [6.2062233e-14 4.3546381e-14 4.9903038e-14 ... 5.6497850e-14
  5.4064775e-14 5.9069028e-14]
 [5.0197924e-14 3.1888212e-14 3.4196509e-14 ... 4.1346775e-14
  4.3827104e-14 4.8561710e-14]
 [2.4174379e-10 1.7876071e-10 1.9393082e-10 ... 2.1789344e-10
  2.1721830e-10 2.2995574e-10]]","[[ 1.9306823e-04  2.8785993e-04 -5.0879782e-04 ... -8.6114116e-05
   1.9149694e-03 -5.7240559e-05]
 [ 5.9044891e-05  1.8587700e-05  4.4513734e-05 ...  1.2068456e-05
   4.7600101e-05 -2.3047425e-05]
 [ 5.4669639e-05  1.4770034e-05  4.8925482e-05 ...  1.5042642e-05
   3.1943433e-05 -2.1852698e-05]
 ...
 [-2.9359013e-05 -4.0314480e-05  1.3278617e-04 ...  9.0006419e-05
  -2.2988612e-04 -9.2940027e-06]
 [ 6.4450942e-05  4.9597103e-05  6.0045197e-05 ...  3.1443531e-05
   1.2814114e-04 -5.5086035e-05]
 [ 5.3465599e-05  4.2366097e-05  6.0428480e-05 ...  3.1012823e-05
  -5.6454155e-06 -4.1734314e-05]]","[[ 9.6755475e-04  7.9180300e-04 -2.4488419e-03 ... -3.6297552e-04
   1.0087347e-01 -4.6789646e-05]
 [ 8.5860491e-05  3.4675002e-05 -3.5019964e-04 ... -6.8712980e-05
   1.3719797e-02  2.4092197e-04]
 [ 4.1699409e-04  2.2718310e-04  1.5072525e-04 ...  1.1217035e-04
  -1.4626980e-03  2.4568439e-03]
 ...
 [ 3.4880266e-04  1.5460998e-03  1.5011057e-03 ...  2.9905513e-04
   1.7642140e-02 -9.1195107e-06]
 [ 1.8929392e-03  4.1293353e-04  1.9453615e-03 ...  4.0917099e-04
   2.2194147e-02 -2.3782253e-05]
 [-2.6582927e-04 -5.5671483e-04 -1.1123121e-03 ... -2.5609042e-04
   2.0973086e-02  5.4299831e-05]]","[4.3633748e-03 4.5187175e-03 4.3409164e-03 5.1804978e-02 8.3312906e-02
 3.3218979e-03 3.9863801e-03 1.1600406e-03 1.7148924e+00 1.0609314e-01
 8.5180700e-01 7.2316546e-04 1.2898210e-01 2.4589631e-03]","[1.4028297e-03 1.3616547e-03 1.4079827e-03 2.7451998e-02 3.3094231e-02
 2.3352776e-03 2.1016605e-03 7.1849831e-04 5.0400233e-01 1.7402753e-02
 1.9903678e-01 3.0568868e-04 7.4415497e-02 1.4516911e-03]","['scale_a1', 'scale_a2', 'scale_a3', 'shape_epsilon1', 'shape_epsilon2', 'translation_x', 'translation_y', 'translation_z', 'euler_rx', 'euler_ry', 'euler_rz', 'volume', 'elongation', 'smoothness']",0.21155472,0.4219866098376219,0.1663142857142857,no_geometry
"[[0.10693929 0.10939346 0.05658774 ... 0.0131602  1.9191519  0.99285513]
 [0.10778003 0.1099515  0.05448159 ... 0.01293971 2.0196676  0.9928755 ]
 [0.10786249 0.10998116 0.05413994 ... 0.01287316 2.033385   0.99311656]
 ...
 [0.05434432 0.06978846 0.08362399 ... 0.0063786  1.5378097  0.99944276]
 [0.08437779 0.05764892 0.07411377 ... 0.0072303  1.4632566  0.999393  ]
 [0.084474   0.09266925 0.05853703 ... 0.00918337 1.5828809  0.99925816]]","[[0.10774326 0.10994719 0.05443428 ... 0.01289664 2.0198152  0.99285555]
 [0.10782912 0.10998186 0.05408408 ... 0.01282793 2.033535   0.9930965 ]
 [0.10824611 0.11020905 0.0542348  ... 0.0129401  2.0320723  0.9955533 ]
 ...
 [0.05468161 0.071329   0.08505667 ... 0.00663507 1.5554894  0.99943286]
 [0.08625197 0.05806573 0.07597426 ... 0.00761001 1.4854195  0.99937123]
 [0.0841773  0.09207521 0.05740694 ... 0.00889881 1.6039038  0.9993153 ]]","[[1.24190196e-08 1.23457582e-08 1.89763707e-08 ... 1.33294842e-08
  1.00681881e-08 1.33025866e-08]
 [1.67850733e-10 1.68472333e-10 2.95218877e-10 ... 1.90902349e-10
  1.21869806e-10 1.79167944e-10]
 [2.86904861e-10 2.87967900e-10 4.97975994e-10 ... 3.25301203e-10
  2.09989387e-10 3.05886677e-10]
 ...
 [5.50214868e-16 5.53762877e-16 9.35507974e-16 ... 5.96137235e-16
  5.05744050e-16 6.62196276e-16]
 [1.88394866e-14 1.98130629e-14 2.90423576e-14 ... 2.03796686e-14
  1.89099767e-14 2.28427879e-14]
 [1.14988165e-13 1.14389441e-13 1.89976900e-13 ... 1.24149849e-13
  1.00684116e-13 1.32845761e-13]]","[[ 1.6358407e-04  2.3807336e-04 -2.9537443e-04 ... -9.9413621e-05
   2.1014933e-04 -4.7217749e-05]
 [ 3.6775135e-05  4.3148448e-06  4.7316451e-05 ...  4.3068005e-05
  -1.4752835e-04  1.9970135e-05]
 [ 3.3373268e-05 -6.9679390e-07  5.5860968e-05 ...  4.5231249e-05
  -1.4986280e-04  2.0087307e-05]
 ...
 [ 1.1510478e-05  5.5651153e-06  6.8427536e-05 ...  4.2577634e-05
  -3.7500737e-05  7.9516576e-07]
 [ 1.8752975e-05 -3.8800576e-06  8.4877327e-05 ...  2.9460898e-05
   3.1177551e-05 -2.0156822e-06]
 [ 3.0876894e-05  3.7324615e-05  1.7777405e-05 ...  2.8469640e-05
  -4.9865179e-05 -2.8709592e-06]]","[[ 9.6755475e-04  7.9180300e-04 -2.4488419e-03 ... -3.6297552e-04
   1.0087347e-01 -4.6789646e-05]
 [ 8.5860491e-05  3.4675002e-05 -3.5019964e-04 ... -6.8712980e-05
   1.3719797e-02  2.4092197e-04]
 [ 4.1699409e-04  2.2718310e-04  1.5072525e-04 ...  1.1217035e-04
  -1.4626980e-03  2.4568439e-03]
 ...
 [ 3.4880266e-04  1.5460998e-03  1.5011057e-03 ...  2.9905513e-04
   1.7642140e-02 -9.1195107e-06]
 [ 1.8929392e-03  4.1293353e-04  1.9453615e-03 ...  4.0917099e-04
   2.2194147e-02 -2.3782253e-05]
 [-2.6582927e-04 -5.5671483e-04 -1.1123121e-03 ... -2.5609042e-04
   2.0973086e-02  5.4299831e-05]]","[4.3624043e-03 4.5179781e-03 4.3380312e-03 5.1785424e-02 8.3285645e-02
 3.2512927e-03 3.9505423e-03 1.1689644e-03 1.7148919e+00 1.0606273e-01
 8.5180789e-01 7.2417466e-04 1.2903595e-01 2.4572911e-03]","[1.4086891e-03 1.3625441e-03 1.3997918e-03 2.7412357e-02 3.3092022e-02
 2.2809021e-03 2.0677741e-03 7.3273038e-04 5.0400102e-01 1.7375091e-02
 1.9903250e-01 3.0748508e-04 7.4501090e-02 1.4498213e-03]","['scale_a1', 'scale_a2', 'scale_a3', 'shape_epsilon1', 'shape_epsilon2', 'translation_x', 'translation_y', 'translation_z', 'euler_rx', 'euler_ry', 'euler_rz', 'volume', 'elongation', 'smoothness']",0.21154574,0.39298789575551446,0.16488571428571427,only_shape_scale
